date	adventure	domestic	fsf	historical	horror	mystery	other	romance	spy_and_politics	suspense	zz_needs label	zz_no genre
2003	1.0	8.0	5.0	1.0	3.0	6.0	4.0	3.0	5.0	3.0	0.0	110.0
2004	0.0	5.0	4.0	1.0	3.0	10.0	1.0	5.0	3.0	3.0	0.0	112.0
2005	2.0	11.0	13.0	3.0	6.0	4.0	6.0	4.0	2.0	8.0	1.0	95.0
2006	2.0	12.0	3.0	1.0	6.0	10.0	5.0	6.0	3.0	7.0	0.0	120.0
2007	0.0	2.0	4.0	1.0	6.0	6.0	3.0	7.0	1.0	7.0	1.0	143.0
2008	0.0	2.0	4.0	1.0	7.0	13.0	6.0	2.0	5.0	5.0	0.0	144.0
2009	2.0	5.0	4.0	2.0	8.0	12.0	5.0	3.0	3.0	12.0	0.0	150.0
2010	2.0	7.0	4.0	2.0	8.0	7.0	3.0	3.0	2.0	10.0	0.0	160.0
2011	1.0	6.0	7.0	3.0	6.0	21.0	4.0	6.0	4.0	16.0	5.0	124.0
2012	2.0	2.0	3.0	3.0	10.0	8.0	2.0	9.0	4.0	10.0	5.0	151.0
2013	0.0	2.0	4.0	0.0	6.0	15.0	5.0	0.0	3.0	7.0	4.0	169.0
2014	1.0	9.0	8.0	3.0	4.0	10.0	0.0	4.0	5.0	8.0	2.0	157.0
2015	0.0	2.0	2.0	1.0	3.0	7.0	3.0	5.0	3.0	6.0	0.0	159.0
2016	0.0	3.0	3.0	0.0	4.0	6.0	2.0	3.0	2.0	6.0	0.0	149.0
2017	1.0	0.0	0.0	0.0	2.0	2.0	1.0	0.0	1.0	2.0	3.0	36.0
